x13p1p01x        x48.75x        x109.00x        x47.90x
x13p1p02x        x48.50x        x108.25x        x30.79x
x13p1p03x        x48.25x        x107.50x        x30.79x
x13p1p04x        x48.25x        x107.00x        x30.79x
x13p1p05x        x48.00x        x106.75x        x30.79x
x13p1p06x        x47.25x        x106.50x        x30.79x
x13p1p07x        x47.25x        x105.75x        x30.79x
x13p1p08x        x47.00x        x105.75x        x32.26x
x13p1p09x        x47.25x        x105.00x        x30.30x
x13p1p10x        x46.50x        x104.25x        x30.79x
x13p1p11x        x47.00x        x104.00x        x30.79x
x13p1p12x        x46.50x        x103.50x        x30.79x
x13p1p13x        x46.25x        x103.00x        x31.77x
x13p1p14x        x46.00x        x102.75x        x30.30x
x13p1p15x        x46.00x        x102.50x        x30.79x
x13p1p16x        x46.25x        x101.75x        x30.30x
x13p1p17x        x45.75x        x101.50x        x30.79x
x13p1p18x        x45.50x        x100.50x        x30.79x
x13p1p19x        x45.50x        x100.75x        x30.79x
x13p1p20x        x45.50x        x100.25x        x30.79x
x13p1p21x        x45.50x        x100.00x        x31.77x
x13p1p22x        x45.25x        x99.50x        x36.17x
x13p1p23x        x44.50x        x99.50x        x46.43x
x13p1p24x        x45.25x        x100.25x        x46.43x
x13p1p25x        x44.75x        x99.50x        x46.43x
x13p1p26x        x44.75x        x99.50x        x46.92x
x13p1p27x        x44.25x        x98.50x        x46.92x
x13p1p28x        x44.00x        x97.75x        x46.92x
x13p1p29x        x44.25x        x97.75x        x46.92x
x13p1p30x        x44.25x        x97.50x        x46.92x
x13p1p31x        x44.25x        x97.00x        x46.92x
x13p1p32x        x44.00x        x97.00x        x46.92x
x13p1p33x        x44.00x        x96.00x        x46.92x
x13p1p34x        x43.75x        x95.75x        x46.92x
x13p1p35x        x43.25x        x95.25x        x47.41x
x13p1p36x        x43.25x        x95.25x        x47.41x
x13p1p37x        x43.25x        x95.00x        x47.41x
x13p1p38x        x43.25x        x94.00x        x47.41x
x13p1p39x        x43.00x        x93.25x        x47.41x
x13p1p40x        x43.00x        x93.50x        x47.41x
